idn,author,gnd_modified
1080840729,"Brinton, Maurice",unknown
1044851430,"Wehrs, Nikolai",(DE-588)1050648676
1050821122,"Wehrs, Nikolai",(DE-588)1050648676
1053218338,"Czwalina, Christine",unknown
1064630235,"Reynolds, Chris",(DE-588)1065698348
1067041699,"Reynolds, Chris",(DE-588)1065698348
1328386619,"Kronschnabl, Judith",unknown
1059066440,"Hahn, Ulla",(DE-588)118994212
1050502663,"Hahn, Ulla",(DE-588)118994212
1046935666,"Theiler, Hendrik",unknown
1053372426,"Nothing, Sebastian",unknown
1247623157,"Nothing, Sebastian",unknown
1053207492,"Minjoli, Teresia",unknown
1247621413,"Minjoli, Teresia",unknown
1340233975,"Giovannini, Norbert Michael",(DE-588)123532868
1058512749,"Kandler, Jannik Malte",unknown
1045380717,"Jahn, Kathrin",(DE-588)1046014951
1028105622,"Delius, Friedrich Christian",(DE-588)118924389
1042657661,"Delius, Friedrich Christian",unknown
1135802688,"Funke, Hajo",(DE-588)122730992
1033782637,"Dehnavi, Morvarid",(DE-588)140802746
1044219718,"Kramer, Urs",unknown
1052153968,"Rückher, Johannes",(DE-588)1033537217
1043606076,"Tihlarik, Amelie",unknown
1247720551,"Tihlarik, Amelie",unknown
1038823390,"Dylan, Marc",unknown
119204360X,"Angley, Robyn E.",unknown
1043361235,"Grune, Susann",unknown
1247939065,"Grune, Susann",unknown
1191660850,"Kitzberger, Philip",(DE-588)142775428
125008329X,"Grune, Susann",unknown
1036333515,"Tödt, Ilse",(DE-588)140151532
1044144025,"Middeke, Soeren",unknown
117641206X,"Middeke, Soeren",unknown
1044950587,"Stark, Benjamin",unknown
1247372596,"Stark, Benjamin",unknown
1038162319,"Theiler, Hendrik",unknown
1052238955,"Rinner, Susanne",(DE-588)1033292761
1032059559,"Foltin, Robert",(DE-588)118065181
1190679647,"Cremer-Schäfer, Helga",unknown
1019404434,"Scharloth, Joachim",(DE-588)173626173
1019042850,"Weitbrecht, Dorothee",(DE-588)12376937X
1052123066,"Weitbrecht, Dorothee",(DE-588)12376937X
1192129652,"Brantner, Cornelia",(DE-588)1182279074
102203832X,"Skenderovic, Damir",(DE-588)135879116
1158530420,"Skenderovic, Damir",(DE-588)135879116
1028741979,"Jung, Stefanie",unknown
1250130344,"Jung, Stefanie",unknown
1046981188,"Friedrich, Toni",unknown
1182701922,"Friedrich, Toni",unknown
1030609187,"Lietz, Anna",unknown
1182850847,"Lietz, Anna",unknown
1018601392,"Pora-Leonowicz, Jacklin",unknown
1182766277,"Pora-Leonowicz, Jacklin",unknown
1025173023,"Slobodian, Quinn",(DE-588)1023609754
1247446247,"Hackl, Johannes",unknown
1041735391,"Rottländer, Matthias",unknown
1247908550,"Rottländer, Matthias",unknown
1147392382,"Skenderovic, Damir",(DE-588)135879116
1253838585,"Kittel, Manfred",(DE-588)131995596
1028089880,"Kraushaar, Wolfgang",(DE-588)120283344
119753654X,"Herrmann, Hans Peter",(DE-588)12180741X
1187096180,"Jarausch, Konrad",(DE-588)124678025
1096335778,"Gamelas, Inês",(DE-588)1244838055
100236325X,"Scharloth, Joachim",(DE-588)173626173
1016010141,"Behmel, Albrecht",(DE-588)123622123
1191589390,"Neubauer-Petzoldt, Ruth",unknown
1096750090,"Prinz, Kirsten",unknown
1258370875,"Mann, Thomas",unknown
1224681576,"Benzenhöfer, Udo",(DE-588)115875697
1043864962,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
1014554942,"Löwer, Ingrid",(DE-588)1016255527
1052091822,"Forsbach, Ralf",(DE-588)132554887
996984038,"Forsbach, Ralf",(DE-588)132554887
1010847333,"Mewes, Jannis",unknown
1179709063,"Mewes, Jannis",unknown
1016237332,"Fichter, Tilman",(DE-588)12200048X
1009334530,"Fichter, Tilman",(DE-588)12200048X
1014471117,"Grönke, Nico",unknown
1188201166,"Grönke, Nico",unknown
1290272727,"Schenck, Guntram von",(DE-588)101540457X
1262984645,"Hoffmann, Stefan",unknown
1010501003,"André, Thomas",unknown
1009851918,"Kittel, Manfred",(DE-588)131995596
1018019499,"Haarlen, Marinella Charlotte van ten",(DE-588)1018230084
1018019472,"Haarlen, Marinella Charlotte van ten",(DE-588)1018230084
1011630931,"Brentzel, Marianne",(DE-588)11553301X
1009780093,"Kanzleiter, Boris",(DE-588)115455175
1011688948,"Foltin, Robert",(DE-588)118065181
986859478,"Jurić, Mijo",(DE-588)1012028119
117961710X,"Rüegg, Benjamin",unknown
116076624X,"Dörfler-Dierken, Angelika",(DE-588)113099886
1007251646,"Dörfler-Dierken, Angelika",(DE-588)113099886
100684645X,"Uhlig, Alexander",unknown
1181642620,"Uhlig, Alexander",unknown
1002352754,"Horvath, Peter",(DE-588)142286540
1179618084,"Edler, Jonas",unknown
1074528352,"Wedler, Florian",unknown
998419664,"Voigts, Hanning",unknown
1008361372,"Lotz, Manfred",unknown
1247628744,"Lotz, Manfred",unknown
1037923030,"Plessen, Elisabeth",(DE-588)119137542
100230556X,"Plessen, Elisabeth",(DE-588)119137542
1001622863,"Korb, Viktoria",(DE-588)109388267
1006541047,"Meschkat, Klaus",(DE-588)106014714
1018019480,"Haarlen, Marinella Charlotte van ten",(DE-588)1018230084
1191522717,"Keupp, Heiner",unknown
1005444560,"Aly, Götz",(DE-588)115766065
1022331787,"Kraft, Sandra",(DE-588)137627157
1003246206,"Kraft, Sandra",(DE-588)137627157
1004203918,"Benicke, Jens",(DE-588)102392577X
998985783,"Rohstock, Anne",(DE-588)141258365
1108617832,"Rohstock, Anne",(DE-588)141258365
998414328,"Anam, Tahmima",(DE-588)140902597
994942419,"Allmendinger, Björn",(DE-588)1145192599
1192185099,"Bavaj, Riccardo",(DE-588)128368926
1006679723,"Grezlikowski, Marc",unknown
1247627411,"Grezlikowski, Marc",unknown
995124035,"Weisz, Sabine",unknown
996917888,"Nagel, Katja",(DE-588)139692932
1006318224,"Heise, Nina ",unknown
1261443594,"Staber, Anja",unknown
100678991X,"Staber, Anja",unknown
118637246X,"Hühnerfuß, Bianca",unknown
1006726810,"Hühnerfuß, Bianca",unknown
1186384808,"Gluesen, Bjoern",unknown
1125455454,"Deissler, Hans Herbert",unknown
1190993406,"Tomić, Đorđe",(DE-588)1069006785
1022330926,"Eitler, Pascal",(DE-588)138447012
99215331X,"Eitler, Pascal",(DE-588)138447012
1187919853,"M. S. Röhl, Ulrike",unknown
1006781773,"M. S. Röhl, Ulrike",unknown
99700777X,"Bilang, Cea",(DE-588)139361251
1006800298,"Paeßens, Anna Caroline ",unknown
997222042,"Staib, Klaus",unknown
99174604X,"Aly, Götz",(DE-588)115766065
1258387549,"Aly, Götz",(DE-588)115766065
999695673,"Benicke, Jens",(DE-588)102392577X
1006665110,"Hadem, Marco",unknown
1181617553,"Hadem, Marco",unknown
1197536523,"Herrmann, Hans Peter",(DE-588)12180741X
1204826137,"Herrmann, Hans Peter",(DE-588)12180741X
987803271,"Butollo, Florian",(DE-588)1022444468
98812436X,"Spix, Boris",unknown
989330540,"Negt, Oskar",(DE-588)11858684X
988023962,"Kozicki, Norbert",(DE-588)112302726
98912407X,"Funke, Hajo",(DE-588)122730992
989459993,"Pak, Mi",unknown
987145282,"Seitenbecher, Manuel",(DE-588)1034184326
984641521,"Mohr, Reinhard",(DE-588)124940056
118099339X,"Merkel, Jana",unknown
988522985,"Ludwig, Ralph",(DE-588)124107702
1261742028,"Vierbacher, Fabian",unknown
1189419904,"Reifenrath, Florian",unknown
1006320644,"Reifenrath, Florian",unknown
99074924X,"Witkowski, Mareike",(DE-588)133657035
1179374576,"Heise, Nina",unknown
1006240659,"Sander, Alexander",unknown
986631140,"Ruetz, Michael",(DE-588)118816330
1010310631,"Scheuch, Ute",(DE-588)110878191
987047388,"Carini, Marco",(DE-588)124212042
987716646,"Timm, Uwe",(DE-588)118839276
991891899,"Timm, Uwe",(DE-588)118839276
98437261X,"Blain, Malika",unknown
986666092,"Nix, Christoph",(DE-588)129341568
975080261,"Krahl, Hans-Jürgen",(DE-588)11898845X
986280321,"Schneider, Peter",(DE-588)118758675
988384779,"Strehle, Res",(DE-588)170370836
987356119,"Spernol, Boris",(DE-588)1033803804
986653314,"Aly, Götz",(DE-588)115766065
988747227,"Friesenbichler, Georg",(DE-588)136433898
1191660060,"Teune, Simon",unknown
1060389355,"Brinkmann, Heinrich",unknown
982916728,"Hoevels, Fritz E.",unknown
1181111129,"Schrodi, Simone",unknown
1184684359,"Plagge, Lydia",unknown
1005880689,"Kalaitzi, Maria",unknown
1138709883,"Klaus, Daniel",unknown
1184904294,"Steinmeyer, Johannes",unknown
984294864,"Fichter, Tilman",(DE-588)12200048X
98319453X,"Berlit, Anna Christina",unknown
1109894953,"Janzen, Loretta",unknown
1109887876,"Vogelgesang, Maike",unknown
1192023412,"Kern, Thomas",(DE-588)130432628
973575026,"Kailitz, Susanne",unknown
983610231,"Baumann, Michael",(DE-588)118507516
1103501321,"Maaser, Michael",(DE-588)111419727
977977757,"Dostal, Caroline",(DE-588)131510657
1180930592,"Krause, Katharina",unknown
979058252,"Bolius, Uwe",(DE-588)118096133
977217175,"Seyfried, Gerhard",(DE-588)115834168
981669816,"Seidl, Florian",(DE-588)119061252
1261696786,"Kalaitzi, Maria",unknown
1109894627,"Roseck, Maja",unknown
978120728,"Hecken, Thomas",(DE-588)115539778
