idn,titel,author,rela,gnd
1171814712,Die westdeutsche Studentenbewegung in den 1960er Jahren. Eine gescheiterte Revolution,"Böhle, Felicia",Verfasser,unknown
1171814909,Die westdeutsche Studentenbewegung in den 1960er Jahren. Eine gescheiterte Revolution,"Böhle, Felicia",Verfasser,unknown
1131371135,Ein kleines rotes Buch,unknown,unknown,unknown
1144647916,FILME ZUR STUDENTENBEWEGUNG 1967 – 1969,unknown,unknown,unknown
1172834725,Friedrich Dürrenmatt 1968,unknown,unknown,unknown
1158704607,Gab es 1968?,"Nassehi, Armin",Verfasser,(DE-588)12457713X; https://d-nb.info/gnd/12457713X; (DE-101)12457713X
115031933X,Gab es 1968?,"Nassehi, Armin",Verfasser,(DE-588)12457713X; https://d-nb.info/gnd/12457713X; (DE-101)12457713X
1140246860,Geschichte des SDS,"Fichter, Tilman",Verfasser,(DE-588)12200048X; https://d-nb.info/gnd/12200048X; (DE-101)12200048X
1147877300,Geschichte ist machbar,"Dutschke, Rudi",Verfasser,(DE-588)118528327; https://d-nb.info/gnd/118528327; (DE-101)118528327
1144213290,Imagine,"Hattstein, Markus",Verfasser,(DE-588)113118023; https://d-nb.info/gnd/113118023; (DE-101)113118023
1168782716,Israel und die Geister von ’68,"Schmidt, Christoph",Verfasser,(DE-588)138385831; https://d-nb.info/gnd/138385831; (DE-101)138385831
1071491482,Israel und die Geister von '68,"Schmidt, Christoph",Verfasser,(DE-588)138385831; https://d-nb.info/gnd/138385831; (DE-101)138385831
1148006621,Keine Ruhe nach dem Sturm,"Heider, Ulrike",Verfasser,(DE-588)1046509918; https://d-nb.info/gnd/1046509918; (DE-101)1046509918
1158511655,Köln 68!,unknown,unknown,unknown
1156397758,"Living through turbulent times or sailor, worker, student of mid-century",unknown,unknown,unknown
1159903042,"Living through turbulent times or sailor, worker, student of mid-century","Mann, Richard",Verfasser,unknown
117515931X,Naša bor'ba,"Aly, Götz",Verfasser,(DE-588)115766065; https://d-nb.info/gnd/115766065; (DE-101)115766065
1162984120,Polens letzte Juden,"Kowalski, David",Verfasser,(DE-588)1133097243; https://d-nb.info/gnd/1133097243; (DE-101)1133097243
1148137416,Polens letzte Juden,"Kowalski, David",Verfasser,(DE-588)1133097243; https://d-nb.info/gnd/1133097243; (DE-101)1133097243
117207285X,Rädelsführer,"Voit, Jochen",Verfasser,(DE-588)140805923; https://d-nb.info/gnd/140805923; (DE-101)140805923
1151949841,Rädelsführer,"Voit, Jochen",Verfasser,(DE-588)140805923; https://d-nb.info/gnd/140805923; (DE-101)140805923
1144390117,"Reform, Revolution oder Stillstand?","Sarx, Tobias",Verfasser,(DE-588)13406691X; https://d-nb.info/gnd/13406691X; (DE-101)13406691X
1161458441,"Reform, Revolution oder Stillstand?","Sarx, Tobias",Verfasser,(DE-588)13406691X; https://d-nb.info/gnd/13406691X; (DE-101)13406691X
1174959096,Revolte in der Kirche?,unknown,unknown,unknown
1156224527,Revolte in der Kirche?,unknown,unknown,unknown
1132522080,"Revolte, Rausch und Razzien",unknown,unknown,unknown
1169942938,"Social movements, protest and academic knowledge formation",unknown,unknown,unknown
1166679896,Summer of ´68,unknown,unknown,unknown
1173466142,The emotional politics of the alternative left,"Häberlen, Joachim C.",Verfasser,(DE-588)1035330555; https://d-nb.info/gnd/1035330555; (DE-101)1035330555
123736258X,Die Eröffnung des Klinikums Steglitz im Zeichen der Studentenbewegung,"Wicke, Finja",Verfasser,unknown
1270069314,"Irritationserfahrung, Jugendrevolte, Gewaltentgrenzung – Der historische Ort der 68er-Bewegung im Lichte neuerer Gesamtdarstellungen","Gerhards, Thomas",Verfasser,unknown
1161139265,1968 als Gründungsmoment,"Daphi, Priska",Verfasser,unknown
1228908168,"»Dass Angehörige meiner Generation heute als ›Gutmenschen‹ beschimpft werden, finde ich fürchterlich« : Barbara Köster hat als Soziologie-Studentin und Mitglied des SDS das Jahr 68 in Frankfurt erlebt","Frank, Dirk",Verfasser,unknown
116113770X,"""Max: so weit haben wir’s gebracht""","Wiggershaus, Rolf",Verfasser,(DE-588)120664658; https://d-nb.info/gnd/120664658; (DE-101)120664658
1228910057,"Mit Busen, Blüten und Blätterteig gegen das Establishment","Gärtner, Melanie",Verfasser,unknown
1161138218,Von der Akademisierung der Erziehung : der Fachbereich Erziehungswissenschaften an der Goethe-Universität entstand zur Zeit der Studentenbewegung,"Sauter, Anke",Verfasser,unknown
113079749X,1968,"Fuhrer, Armin",Verfasser,(DE-588)131668544; https://d-nb.info/gnd/131668544; (DE-101)131668544
1131814045,1968 in Berlin,"Juchler, Ingo",Verfasser,(DE-588)112787061; https://d-nb.info/gnd/112787061; (DE-101)112787061
1334193029,2017 - ein Jahr der Proteste in Belarus,"Herasimenka, Aliaksandr",Verfasser,(DE-588)115018762X; https://d-nb.info/gnd/115018762X; (DE-101)115018762X
1139207547,68er-Bewegung in Graubünden,"Caviezel, Werner",Verfasser,(DE-588)1140241737; https://d-nb.info/gnd/1140241737; (DE-101)1140241737
1133089968,Antiautoritär,"Funke, Hajo",Verfasser,(DE-588)122730992; https://d-nb.info/gnd/122730992; (DE-101)122730992
1242637753,"""Autonomie"" Revisited: The Autonomist Crossroads in the West German Student Movement's Long March","Kim, Seongcheol",Verfasser,unknown
1140709178,Beziehungsweise Revolution,"Adamczak, Bini",Verfasser,(DE-588)13261975X; https://d-nb.info/gnd/13261975X; (DE-101)13261975X
1130160580,Beziehungsweise Revolution,"Adamczak, Bini",Verfasser,(DE-588)13261975X; https://d-nb.info/gnd/13261975X; (DE-101)13261975X
1156532604,Das Ende der Utopien: der Wandel der Spontis in den langen 1970er Jahren,"Kasper, Sebastian",Verfasser,(DE-588)1156195721; https://d-nb.info/gnd/1156195721; (DE-101)1156195721
1177260433,Das Jahr 1968. Der revolutionäre Schluss- und Höhepunkt?,"M., Gina",Verfasser,unknown
1140170597,Das Jahr der Revolte,"Göpfert, Claus-Jürgen",Verfasser,(DE-588)1076176607; https://d-nb.info/gnd/1076176607; (DE-101)1076176607
1131095111,Das Jahr der Revolte,"Göpfert, Claus-Jürgen",Verfasser,(DE-588)1076176607; https://d-nb.info/gnd/1076176607; (DE-101)1076176607
1099715342,Der Bund Freiheit der Wissenschaft in den Jahren 1970-1976,"Koischwitz, Svea",Verfasser,(DE-588)1121311113; https://d-nb.info/gnd/1121311113; (DE-101)1121311113
1193261007,¿Despedida de la utopía?,"Bloch, Ernst",Verfasser,(DE-588)118511742; https://d-nb.info/gnd/118511742; (DE-101)118511742
1140934228,Die 68er Bewegung,"Gilcher-Holtey, Ingrid",Verfasser,(DE-588)11100618X; https://d-nb.info/gnd/11100618X; (DE-101)11100618X
