idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
1098154673,"Hahn, Ulla",1946-04-30,,Brachthausen,,Schriftstellerin; Lyrikerin; Literaturwissenschaftlerin; Weibliche Lehrbeauftragte; Rundfunkredakteurin; Journalistin; Librettistin,118994212
1076172806,"Schroeder, Klaus-Peter",1947-02-24,,Heidelberg,,Jurist; Hochschullehrer,122569512
110639870X,"Daiber, Birgit",1944,,Albstadt-Ebingen,,Politikerin; Pädagogin,132468190
971096562,"Sonnemann, Ulrich",1912-02-03,1993-03-27,Berlin,Gudensberg,Philosoph; Publizist,119061848
1171733224,"Sonnemann, Ulrich",1912-02-03,1993-03-27,Berlin,Gudensberg,Philosoph; Publizist,119061848
1108567193,"Bichow, Stefan",,,Neumünster,,,1038235944
1071562142,"Schon, Jenny",1942-12-16,,Trautenau,,Schriftstellerin; Publizistin; Buchhändlerin,108018318
1063657946,"Dannenbaum, Uwe",1942,,Wuppertal-Elberfeld,,Journalist,139484876
1070748382,"Timm, Uwe",1940-03-30,,Hamburg,,Schriftsteller; Lyriker; Drehbuchautor,118839276
1068030291,"Timm, Uwe",1940-03-30,,Hamburg,,Schriftsteller; Lyriker; Drehbuchautor,118839276
1069517968,"Hahn, Ulla",1946-04-30,,Brachthausen,,Schriftstellerin; Lyrikerin; Literaturwissenschaftlerin; Weibliche Lehrbeauftragte; Rundfunkredakteurin; Journalistin; Librettistin,118994212
1243214147,"Lorenz, Robert",1983,,Kassel,,Politologe,138316058
1047913844,"Shi-Schienle, Weibing",,,Xi'an,,Versicherungsvertreterin,1053336233
1045580457,"Rückher, Johannes",,,Saarbrücken,,Arzt,1033537217
1251146171,"Linz, Max",1984,,Frankfurt am Main,,Regisseur; Drehbuchautor,unknown
1044851430,"Wehrs, Nikolai",1978,,Frankfurt (Oder),,Historiker; Germanist,1050648676
1050821122,"Wehrs, Nikolai",1978,,Frankfurt (Oder),,Historiker; Germanist,1050648676
1059066440,"Hahn, Ulla",1946-04-30,,Brachthausen,,Schriftstellerin; Lyrikerin; Literaturwissenschaftlerin; Weibliche Lehrbeauftragte; Rundfunkredakteurin; Journalistin; Librettistin,118994212
1050502663,"Hahn, Ulla",1946-04-30,,Brachthausen,,Schriftstellerin; Lyrikerin; Literaturwissenschaftlerin; Weibliche Lehrbeauftragte; Rundfunkredakteurin; Journalistin; Librettistin,118994212
1340233975,"Giovannini, Norbert Michael",1948,,Freiburg im Breisgau,,Pädagoge; Lehrer,123532868
1028105622,"Delius, Friedrich Christian",1943-02-13,2022-05-30,Rom,Berlin,Schriftsteller; Germanist; Literaturwissenschaftler; Lektor <Verlag>; Schriftsteller,118924389
1052153968,"Rückher, Johannes",,,Saarbrücken,,Arzt,1033537217
1036333515,"Tödt, Ilse",1930,,Hannover,,Theologin,140151532
1032059559,"Foltin, Robert",1957,,Salzburg,,Redakteur; Autor; Linguist,118065181
102203832X,"Skenderovic, Damir",1965,,Dortmund,,Historiker,135879116
1158530420,"Skenderovic, Damir",1965,,Dortmund,,Historiker,135879116
1147392382,"Skenderovic, Damir",1965,,Dortmund,,Historiker,135879116
1253838585,"Kittel, Manfred",1962,,Großhaslach,,Historiker; Politologe,131995596
1028089880,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
119753654X,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
1187096180,"Jarausch, Konrad",1941-08-14,,Magdeburg,,Historiker; Hochschullehrer,124678025
1043864962,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
1052091822,"Forsbach, Ralf",1965,,Siegburg,,Historiker,132554887
996984038,"Forsbach, Ralf",1965,,Siegburg,,Historiker,132554887
1016237332,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
1009334530,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
